id,Power(watts),Distance(metres),Heartrate(BPM),Speed(m/s),'WindSpeed,Cadaence(revs/s),Elevation(meters),'Hill,'Temperature(C,'Penalty,'Cluster
1,0,0,57,1.4305,1.6093,0,55.778,-2.85,25.556,254.2,3
2,0,0,57,1.654,2.9505,0,55.778,-4.4,25.556,254.2,3
3,0,0,57,2.5034,3.174,0,55.778,-5.85,25.556,254.2,3
4,0,16.093,61,2.5034,3.8445,0,55.778,-6.3,25.556,254.2,3
5,0,16.093,62,2.5481,3.2187,0,55.778,-5.62,25.556,254.2,3
6,0,16.093,64,2.5481,4.381,0,55.778,-4.75,25.556,254.2,3
7,0,16.093,65,2.6822,4.4704,0.26667,55.778,-3.45,25.556,346.32,3
8,19.51,16.093,68,2.8163,4.1128,0.51667,55.169,-2.14,25.556,412.16,3
9,48.47,16.093,69,3.1293,3.8445,0.6,55.169,-1.62,25.556,453.42,3
10,70.79,32.187,71,3.5316,3.8445,0.66667,55.169,-0.69,25.556,472.4,3
11,91.38,32.187,75,3.8892,4.0233,0.75,55.169,-0.3,25.556,466.88,3
12,100.72,32.187,76,4.2022,4.7833,0.8,55.169,-0.29,25.556,410.69,3
13,106.93,32.187,79,4.4257,4.2022,0.81667,55.169,-0.05,25.556,410.69,3
14,112.86,48.28,80,4.5151,3.7551,0.9,55.169,0.69,25.556,444.16,3
15,117.97,48.28,83,4.6045,3.8892,0.93333,55.169,0.83,25.556,447.48,3
16,98.55,48.28,83,4.7833,3.0846,0.71667,55.169,0.87,25.556,448.05,3
17,0,64.374,84,4.6492,2.861,0,55.169,1.29,25.556,451.54,3
18,0,64.374,84,4.4257,3.0846,0,55.169,1.3,25.556,445.19,3
19,43.77,64.374,84,4.4704,3.7998,0.43333,55.169,1.59,25.556,441.59,3
20,82.79,64.374,85,4.6939,3.621,0.91667,55.169,1.87,25.556,444.41,3
21,98.74,80.467,85,4.828,3.3081,0.93333,55.169,1.84,25.556,450.91,3
22,86.58,80.467,85,4.828,3.0399,0.95,55.169,1.59,25.556,462.87,3
23,102.14,80.467,85,4.7833,3.2634,0.98333,55.169,1.73,25.556,378.08,3
24,115.68,96.56,86,4.8727,3.8445,1.0167,55.474,1.65,25.556,378.08,3
25,123.68,96.56,86,5.0068,4.3363,1.0333,55.474,1.68,25.556,448.7,3
26,114.62,96.56,87,5.0068,4.2469,1.05,55.474,1.81,25.556,514.04,3
27,73.01,96.56,88,5.0068,3.9786,0.85,55.474,1.22,25.556,549.4,3
28,0,112.65,89,4.7386,3.8892,0.2,55.778,1.34,25.556,573.31,3
29,0,112.65,89,4.4704,2.9952,0,55.778,1.54,25.556,566.81,3
30,0,112.65,89,4.2916,2.5928,0,55.778,1.35,25.556,513.56,3
31,0,128.75,89,4.0233,2.3246,0,55.778,1.86,25.556,416.56,3
32,0,128.75,87,3.7551,1.967,0,56.998,2.37,25.556,295.2,3
33,0,128.75,87,3.5316,2.0564,0,56.998,3.27,25.556,230.12,3
34,63.27,128.75,87,3.9339,2.414,0.75,56.998,3.97,25.556,273.23,3
35,40.37,144.84,87,4.381,4.7386,0.9,56.998,3.88,25.556,327.08,3
36,0,144.84,87,4.8727,5.9456,1,57.302,2.88,25.556,363.62,3
37,30.57,144.84,87,5.0515,6.0797,1.05,57.302,1.39,25.556,371.26,3
38,63.82,144.84,88,5.2304,5.588,1.1,57.302,0.2,25.556,355.37,3
39,82.97,160.93,89,5.4986,5.6327,1.15,57.302,-0.7,25.556,310.99,3
40,90.37,160.93,91,5.6774,5.6327,1.1833,57.302,-0.99,25.556,317.56,3
41,88.85,177.03,92,5.8115,5.9903,1.2,57.302,-0.98,25.556,308.16,3
